IDnum;Date;StartTime;Duration;Destination;Attack_name;insider?;manual?;console?;success?;aDump?;oDump;iDump;BSM?;SysLogs;FSListing;Stealthy;New?;Category;OS
41.133333;3/29/1999;13:33:37;0:00:01;172.016.118.070;guessftp;in;auto;rem;succ;aDmp;not;iDmp;BSM;SysLg;not;Clr;Old;llR2L;mllSOLARIS
41.135830;3/29/1999;13:58:16;0:00:12;172.016.112.050;ftpwrite;out;auto;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Clr;Old;llR2L;lllSOLARIS
41.135830;3/29/1999;13:58:20;0:00:01;194.027.251.021;ftpwrite;out;auto;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Clr;Old;llR2L;
41.135830;3/29/1999;14:03:29;0:00:32;172.016.112.050;ftpwrite;out;auto;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Clr;Old;llR2L;rllSOLARIS
41.155048;3/29/1999;15:50:15;0:23:26;172.016.112.100;yaga;in;auto;rem;succ;aDmp;not;iDmp;not;SysLg;not;Clr;New;llR2L;UllNT
41.155048;3/29/1999;19:50:16;0:13:05;172.016.112.100;yaga;in;auto;rem;succ;aDmp;not;iDmp;not;SysLg;not;Clr;New;llR2L;yUllNTA
41.161308;3/29/1999;16:13:08;0:15:05;172.016.112.100;crashii;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Clr;Old;llR2L;fO
41.162715;3/29/1999;16:27:10;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;llLINUX
41.162715;3/29/1999;16:27:16;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.162715;3/29/1999;16:28:22;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.162715;3/29/1999;16:28:28;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.162715;3/29/1999;16:29:34;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.162715;3/29/1999;16:29:40;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;・ｽllLINUXS
41.162715;3/29/1999;16:30:46;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;xllLINUX
41.162715;3/29/1999;16:30:52;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.162715;3/29/1999;16:31:59;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.162715;3/29/1999;16:32:05;0:00:01;172.016.114.169;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;llLINUX
41.182453;3/29/1999;18:24:19;0:08:41;172.016.112.050;secret;out;auto;rem;succ;aDmp;oDmp;iDmp;BSM;not;FSLst;Clr;New;llDATA;ｽQllSOLARIS
41.182453;3/29/1999;18:27:45;0:00:01;195.115.218.108;secret;out;auto;rem;succ;aDmp;oDmp;iDmp;BSM;not;FSLst;Clr;New;llDATA;RllSOLARIS
41.213446;3/29/1999;21:34:16;0:00:01;172.016.112.050;smurf;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llDOS;}llSOLARIS
41.213446;3/29/1999;21:34:26;0:00:01;172.016.112.050;smurf;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llDOS;
42.090909;3/30/1999;09:09:17;0:02:39;172.016.112.050;httptunnel;out;auto;rem;succ;aDmp;oDmp;;BSM;SysLg;FSLst;Clr;Old;llR2L;・ｽSl
42.090909;3/30/1999;09:10:44;0:00:07;197.182.091.233;httptunnel;out;auto;rem;succ;aDmp;oDmp;;BSM;SysLg;FSLst;Clr;Old;llR2L;sllSOLARIS
42.094131;3/30/1999;09:41:12;0:00:01;172.016.114.050;phf;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llR2L;
42.104107;3/30/1999;10:41:12;0:26:10;172.016.113.050;loadmodule;out;auto;rem;succ;aDmp;oDmp;;not;not;FSLst;Stlth;Old;llDATA-l;lU2R- llSUNOS
42.112913;3/30/1999;11:29:17;0:01:45;172.016.112.050;ps;out;auto;rem;succ;aDmp;oDmp;;BSM;not;FSLst;Clr;Old;llDATA-l;lU2R- llSOLARIS
42.112913;3/30/1999;11:30:50;0:00:01;206.222.003.197;ps;out;auto;rem;succ;aDmp;oDmp;;BSM;not;FSLst;Clr;Old;llDATA-l;lU2R- llSOLARIS
42.112913;3/30/1999;11:47:10;0:17:59;172.016.112.050;ps;out;auto;rem;succ;aDmp;oDmp;;BSM;not;FSLst;Clr;Old;llDATA-l;lU2R- llSOLARIS
42.120000;3/30/1999;12:00:00;0:10:00;172.16.112.100;ntfsdos;;man     ;cons;succ;not;not;;not;SysLg;FSLst;Clr;New;lDATA-ll;U2R- llNT
42.122248;3/30/1999;12:22:13;0:52:29;172.016.114.050;secret;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;New;llDATA;
42.122248;3/30/1999;12:48:08;0:00:09;197.218.177.069;secret;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;New;llDATA;
42.122248;3/30/1999;12:53:30;0:15:01;197.218.177.069;secret;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;New;llDATA;
42.135452;3/30/1999;13:54:17;0:01:09;172.016.112.194;sqlattack;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDATA;lU2R- llLINUX
42.143228;3/30/1999;14:32:15;0:00:06;172.016.112.100;sechole;out;auto;rem;succ;aDmp;oDmp;;not;SysLg;not;Clr;New;llU2R;ｽwllNTl
42.143228;3/30/1999;14:32:19;0:00:02;205.160.208.190;sechole;out;auto;rem;succ;aDmp;oDmp;;not;SysLg;not;Clr;New;llU2R;nw
42.143228;3/30/1999;14:32:23;0:06:33;172.016.112.100;sechole;out;auto;rem;succ;aDmp;oDmp;;not;SysLg;not;Clr;New;llU2R;
42.143228;3/30/1999;19:32:15;0:04:52;172.016.112.100;sechole;out;auto;rem;succ;aDmp;oDmp;;not;SysLg;not;Clr;New;llU2R;llNT
42.145441;3/30/1999;14:54:10;0:15:01;172.016.113.050;land;out;auto;rem;succ;aDmp;oDmp;;not;SysLg;not;Clr;Old;llDOS ;illSUNOS
42.155148;3/30/1999;15:51:16;0:04:27;172.016.114.050;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:51:16;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:51:16;0:00:01;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:51:18;0:00:02;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:51:18;0:00:02;172.016.112.194;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;illLINUX
42.155148;3/30/1999;15:51:21;0:00:03;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;lllLINUX
42.155148;3/30/1999;15:51:25;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;hllLINUX
42.155148;3/30/1999;15:51:26;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;hllLINUX
42.155148;3/30/1999;15:51:31;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;illLINUX
42.155148;3/30/1999;15:51:36;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;mllLINUX
42.155148;3/30/1999;15:51:37;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:51:44;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:51:46;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:51:50;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;sllLINUX
42.155148;3/30/1999;15:51:56;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;illLINUX
42.155148;3/30/1999;15:51:56;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;sllLINUX
42.155148;3/30/1999;15:52:02;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:52:06;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;nllLINUX
42.155148;3/30/1999;15:52:08;0:00:04;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;illLINUX
42.155148;3/30/1999;15:52:13;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;nllLINUX
42.155148;3/30/1999;15:52:18;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;lllLINUX
42.155148;3/30/1999;15:52:20;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;pllLINUX
42.155148;3/30/1999;15:52:26;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;pllLINUX
42.155148;3/30/1999;15:52:28;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:52:32;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:52:39;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:52:39;0:00:30;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;*llLINUX
42.155148;3/30/1999;15:52:49;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;nllLINUX
42.155148;3/30/1999;15:53:10;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;illLINUX
42.155148;3/30/1999;15:53:10;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:53:16;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS;
42.155148;3/30/1999;15:53:22;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;bllLINUX
42.155148;3/30/1999;15:53:22;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:53:29;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS;
42.155148;3/30/1999;15:53:34;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;
42.155148;3/30/1999;15:53:36;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:53:42;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS;
42.155148;3/30/1999;15:53:44;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS;
42.155148;3/30/1999;15:53:49;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ollLINUX
42.155148;3/30/1999;15:53:54;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:53:56;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS;
42.155148;3/30/1999;15:54:03;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:54:04;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;allLINUX
42.155148;3/30/1999;15:54:10;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:54:15;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;
42.155148;3/30/1999;15:54:17;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;hllLINUX
42.155148;3/30/1999;15:54:23;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:54:26;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:54:30;0:00:07;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;allLINUX
42.155148;3/30/1999;15:54:36;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;sllLINUX
42.155148;3/30/1999;15:54:38;0:00:05;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:54:44;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ollLINUX
42.155148;3/30/1999;15:54:46;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS;
42.155148;3/30/1999;15:54:51;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:54:58;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;sllLINUX
42.155148;3/30/1999;15:54:59;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:55:05;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;15:55:09;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:55:12;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;sllLINUX
42.155148;3/30/1999;15:55:19;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ellLINUX
42.155148;3/30/1999;15:55:19;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;.llLINUX
42.155148;3/30/1999;15:55:26;0:00:06;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;tllLINUX
42.155148;3/30/1999;15:55:29;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;lllLINUX
42.155148;3/30/1999;15:55:33;0:00:10;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:55:39;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;nllLINUX
42.155148;3/30/1999;15:55:39;0:00:01;172.016.114.207;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;15:55:51;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;sllLINUX
42.155148;3/30/1999;15:56:41;0:00:01;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;ollLINUX
42.155148;3/30/1999;15:58:46;0:00:01;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;rllLINUX
42.155148;3/30/1999;16:02:27;0:00:01;194.027.251.021;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;lllLINUX
42.155148;3/30/1999;16:02:27;0:00:01;172.016.113.084;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;jllLINUX
42.155148;3/30/1999;16:02:27;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.155148;3/30/1999;16:02:39;0:00:01;172.016.112.020;mailbomb;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS ;llLINUX
42.174944;3/30/1999;17:49:15;0:03:01;172.016.114.050;processtable;out;auto;rem;succ;aDmp;oDmp;;not;not;not;Clr;Old;llDOS;
42.210410;3/30/1999;21:04:10;0:15:07;172.016.112.100;crashiis;out;auto;rem;succ;aDmp;oDmp;;not;SysLg;not;Clr;Old;llDOS;
43.080401;3/31/1999;08:04:14;0:00:03;172.016.114.050;satan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llPROBE;
43.080401;3/31/1999;08:04:14;0:00:01;209.030.070.014;satan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llPROBE;
43.080401;3/31/1999;08:04:18;0:00:09;172.016.114.050;satan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llPROBE;>llLINUX
43.080401;3/31/1999;08:04:25;0:00:02;209.030.070.014;satan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llPROBE;
43.084000;3/31/1999;09:26:12;0:00:04;172.016.112.100;netcat_setup;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;
43.084000;3/31/1999;09:26:12;0:00:03;207.230.054.203;netcat_setup;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;
43.093814;3/31/1999;09:38:13;0:00:53;172.016.114.050;imap;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;FSLst;Clr;Old;llR2L;tllLINUX
43.100000;3/31/1999;10:14:36;0:00:04;172.016.112.100;ppmacro;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llDATA-llR2L-; llNT
43.100000;3/31/1999;10:14:36;0:00:03;194.027.251.021;ppmacro;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llDATA-llR2L-; llNT
43.100000;3/31/1999;10:23:37;0:00:01;172.016.112.100;ppmacro;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llDATA-llR2L-; llNT
43.100000;3/31/1999;10:24:03;0:00:01;172.016.112.100;ppmacro;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llDATA-llR2L-; llNT
43.100000;3/31/1999;10:24:09;0:00:01;172.016.112.100;ppmacro;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llDATA-llR2L-; llNT
43.100000;3/31/1999;10:26:10;0:00:01;172.016.112.100;ppmacro;out;man;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llDATA-llR2L-; llNT
